169	19331	chỗ	noun
170	19330	xuống	adverb, verb
171	18861	bỏ	noun, verb
172	18806	ngoài	adjective, adverb, preposition
173	18679	ý	noun
174	18435	nhớ	verb
175	18357	xe	noun, verb
176	18319	bên	adjective, noun, preposition
177	18311	cám ơn	verb
178	18175	tay	noun
179	18046	kẻ	noun, verb
180	17921	luôn	adverb
181	17905	quay	noun, verb
182	17819	chẳng	adverb
183	17696	đều	adjective, adverb
184	17591	xảy	verb
185	17398	ăn	verb
186	17219	hỏi	verb
187	17214	ổn	adjective
188	17189	nhanh	adjective, adverb
189	16916	giống	adjective, noun, verb
190	16892	ơi	particle
191	16698	ừ	character, particle, verb
192	15722	nói chuyện	noun, verb
193	15648	đường	noun
194	15579	kia	adjective, adverb
195	15552	chú	classifier, noun, pronoun
196	15453	đồ	noun, particle, verb
197	15448	vài	determiner
198	15266	chính	adjective, adverb
199	15196	thời gian	noun
200	15103	bằng	adjective, noun, preposition, verb
201	14887	i	character, noun
202	14824	vụ	noun, verb
203	14803	bắt	verb
204	14631	đầu	adjective, noun
205	14613	giữ	verb
206	14560	phòng	noun, verb
207	14126	có lẽ	adverb
208	14028	lời	classifier, noun
209	13734	làm việc	verb
210	13661	tối	adjective, noun
211	13517	chờ	noun, verb
212	13480	đủ	adjective, adverb
213	13162	vừa	adjective, adverb, conjunction, verb
214	13070	dùng	noun, verb
215	12963	đứa	classifier
216	12849	ôi	adjective, interjection
217	12784	bảo	proper noun, verb
218	12726	chơi	verb
219	12654	thêm	adjective, conjunction, verb
220	12591	tự	adverb, noun, preposition
221	12543	số	adjective, noun
222	12371	bắn	verb
223	12338	gái	adjective, noun
224	12330	chạy	adverb, verb
225	12048	bắt đầu	verb
226	12029	vấn đề	noun
227	11921	ngủ	noun, verb
228	11827	mang	noun, verb
229	11763	cố	adjective, noun, prefix, verb
230	11702	nay	adjective, adverb, noun
231	11701	cuộc	noun
232	11637	vui	adjective, proper noun
233	11634	lớn	adjective, verb
234	11618	tiếng	noun
235	11576	ba	adjective, determiner, noun, numeral
236	11540	nước	noun
237	11415	câu	noun, verb
238	11397	gần	adjective, adverb
239	11393	nhỉ	particle
240	11368	như vậy	adjective
241	11365	cảnh sát	noun
242	11362	chiếc	classifier
243	11152	chút	noun
244	11034	ạ	character, particle, verb
245	10851	sợ	verb
246	10729	ngồi	verb
247	10485	cứu	verb
248	10369	đứng	adjective, verb
249	10328	lo	verb
250	10321	tuyệt	adjective, adverb, verb
251	10316	hoặc	conjunction
252	10278	dừng	noun, verb
253	10220	làm ơn	verb
254	10157	dưới	preposition
255	10153	đêm	noun
256	10145	hôm nay	adverb
257	10120	uống	verb
258	10099	đẹp	adjective
259	10005	đánh	verb
260	9916	xong	adjective, verb
261	9881	nhỏ	adjective, noun, pronoun, verb
262	9845	thế giới	noun
263	9613	tại	conjunction, verb
264	9534	rõ	adjective, interjection
265	9505	trông	verb
266	9437	lâu	adverb
267	9402	trả	verb
268	9372	súng	noun
269	9354	hàng	adjective, noun, proper noun, verb
270	9339	cổ	adjective, noun, pronoun
271	9311	làm sao	adverb
272	9286	gia đình	noun
273	9175	gã	noun, pronoun
274	9169	đợi	verb
275	9159	sáng	adjective, noun, proper noun
276	9142	ồ	character, interjection, verb
277	9095	t	character, pronoun
278	9046	bất cứ	determiner
279	9033	c	character, pronoun
280	9028	phía	noun
281	8955	đáng	adjective, verb
282	8933	sẵn sàng	adjective, verb
283	8808	bởi vì	conjunction
284	8737	trẻ	adjective, noun
285	8728	kể	verb
286	8698	cuối cùng	adjective, adverb
287	8644	vợ	noun
288	8604	quên	verb
289	8441	thử	adverb, verb
290	8413	thực sự	adverb
291	8397	sắp	particle, verb
292	8365	thành	adjective, noun, preposition, proper noun, verb
293	8361	mỗi	determiner
294	8334	chắc chắn	adjective, adverb
295	8317	bảo vệ	noun, verb
296	8316	định	verb
297	8307	học	suffix, verb
298	8297	phút	noun
299	8266	coi	interjection, verb
300	8266	buổi	noun
301	8163	kìa	interjection, pronoun
302	8162	n	character
303	8161	đầu tiên	adjective
304	8084	bộ	adverb, noun, particle
305	8022	xa	adjective, noun
306	7951	một chút	noun
307	7946	khiến	verb
308	7923	máy	noun
309	7876	do	preposition
310	7869	cảm thấy	verb
311	7862	đội	noun, verb
312	7803	quan tâm	verb
313	7792	tuần	noun, verb
314	7776	con trai	noun
315	7774	mặt	noun
316	7712	mua	noun, verb
317	7703	duy nhất	adjective
318	7698	ổng	pronoun
319	7630	quan trọng	adjective
320	7523	tháng	noun
321	7507	thuốc	noun, verb
322	7488	thật sự	adjective, adverb
323	7480	hơi	adverb, noun
324	7463	phụ nữ	noun
325	7431	biến	interjection, noun, verb
326	7374	trở lại	verb
327	7364	cơ	noun, particle
328	7346	an toàn	adjective, noun
329	7345	thay đổi	verb
330	7249	phần	noun, particle, verb
331	7161	chịu	verb
332	7151	đàn ông	noun
333	7119	sếp	noun
334	7058	chết tiệt	interjection
335	7032	bao nhiêu	pronoun
336	7009	công việc	noun
337	6991	kiểm tra	noun, verb
338	6972	điên	adjective, adverb
339	6946	ư	adverb, character, noun
340	6937	tàu	adjective, noun
341	6895	khá	adjective, adverb
342	6885	mau	adjective, adverb
